"alphaCode_bc","comName","comName_tmp","alphaCode_bc_tmp","speciesCode","comNameCode","bandingCode","sciNameCode","sciName"
"NOSH","Northern Shrike","Northern Shrike","NOSH","norshr4","NGSH NOSH","NSHR","LABO","Lanius borealis"
"NOSL","Northern Shoveler","Northern Shoveler","NOSL","norsho","NOSH","NSHO","SPCL","Spatula clypeata"
"NOWA","Northern Waterthrush","Northern Waterthrush","NOWA","norwat","","NOWA","PANO","Parkesia noveboracensis"
"NPOW","Northern Pygmy-Owl","Northern Pygmy-Owl","NPOW","nopowl","NPOW","NOPO","GLGN","Glaucidium gnoma"
"NRWS","Northern Rough-winged Swallow","Northern Rough-winged Swallow","NRWS","nrwswa","","NRWS","STSE","Stelgidopteryx serripennis"
"NSTS","Nelson's Sparrow","Nelson's Sparrow","NSTS","nstspa","","NESP","AMNE","Ammospiza nelsoni"
"NSWO","Northern Saw-whet Owl","Northern Saw-whet Owl","NSWO","nswowl","","NSWO","AEAC","Aegolius acadicus"
"OCWA","Orange-crowned Warbler","Orange-crowned Warbler","OCWA","orcwar","","OCWA","LECE","Leiothlypis celata"
"OSFL","Olive-sided Flycatcher","Olive-sided Flycatcher","OSFL","olsfly","","OSFL","COCO","Contopus cooperi"
"OSPR","Osprey","Osprey","OSPR","osprey","","OSPR","PAHA","Pandion haliaetus"
"OVEN","Ovenbird","Ovenbird","OVEN","ovenbi1","","OVEN","SEAU","Seiurus aurocapilla"
"PAJA","Parasitic Jaeger","Parasitic Jaeger","PAJA","parjae","ARJA ARSK","PAJA","STPA","Stercorarius parasiticus"
"PALO","Pacific Loon","Pacific Loon","PALO","pacloo","PADI","PALO","GAPA","Gavia pacifica"
"PAWA","Palm Warbler","Palm Warbler","PAWA","palwar","","PAWA","SEPA","Setophaga palmarum"
"PAWR","Pacific Wren","Pacific Wren","PAWR","pacwre1","","PAWR","TRPA","Troglodytes pacificus"
"PBGR","Pied-billed Grebe","Pied-billed Grebe","PBGR","pibgre","","PBGR","POPO","Podilymbus podiceps"
"PEAF","Indian Peafowl","Indian Peafowl","PEAF","compea","","INPE","PACR","Pavo cristatus"
"PECO","Pelagic Cormorant","Pelagic Cormorant","PECO","pelcor","","PECO","URPE","Urile pelagicus"
"PEFA","Peregrine Falcon","Peregrine Falcon","PEFA","perfal","","PEFA","FAPE","Falco peregrinus"
"PHVI","Philadelphia Vireo","Philadelphia Vireo","PHVI","phivir","","PHVI","VIPH","Vireo philadelphicus"
"PIGR","Pine Grosbeak","Pine Grosbeak","PIGR","pingro","","PIGR","PIEN","Pinicola enucleator"
"PIGU","Pigeon Guillemot","Pigeon Guillemot","PIGU","piggui","","PIGU","CECO","Cepphus columba"
"PISI","Pine Siskin","Pine Siskin","PISI","pinsis","","PISI","SPPI","Spinus pinus"
"PIWO","Pileated Woodpecker","Pileated Woodpecker","PIWO","pilwoo","","PIWO","DRPI","Dryocopus pileatus"
"POWA","Prothonotary Warbler","Prothonotary Warbler","POWA","prowar","PRWA","PROW","PRCI","Protonotaria citrea"
"PRFA","Prairie Falcon","Prairie Falcon","PRFA","prafal","","PRFA","FAME","Falco mexicanus"
"PSFL","Pacific-slope Flycatcher","Pacific-slope Flycatcher","PSFL","","","","",""
"PUFI","Purple Finch","Purple Finch","PUFI","purfin","","PUFI","HAPU","Haemorhous purpureus"
"PUMA","Purple Martin","Purple Martin","PUMA","purmar","","PUMA","PRSU","Progne subis"
"PYNU","Pygmy Nuthatch","Pygmy Nuthatch","PYNU","pygnut","","PYNU","SIPY","Sitta pygmaea"
"RBGR","Rose-breasted Grosbeak","Rose-breasted Grosbeak","RBGR","robgro","","RBGR","PHLU","Pheucticus ludovicianus"
"RBGU","Ring-billed Gull","Ring-billed Gull","RBGU","ribgul","","RBGU","LADE","Larus delawarensis"
"RBME","Red-breasted Merganser","Red-breasted Merganser","RBME","rebmer","","RBME","MESE","Mergus serrator"
"RBNU","Red-breasted Nuthatch","Red-breasted Nuthatch","RBNU","rebnut","","RBNU","SICA","Sitta canadensis"
"RBSA","Red-breasted Sapsucker","Red-breasted Sapsucker","RBSA","rebsap","","RBSA","SPRU","Sphyrapicus ruber"
"RCKI","Ruby-crowned Kinglet","Ruby-crowned Kinglet","RCKI","ruckin","","RCKI","COCA","Corthylio calendula"
"RECR","Red Crossbill","Red Crossbill","RECR","redcro","COCR","RECR","LOCU","Loxia curvirostra"
"REDH","Redhead","Redhead","REDH","redhea","","REDH","AYAM","Aythya americana"
"REVI","Red-eyed Vireo","Red-eyed Vireo","REVI","reevir1","","REVI","VIOL","Vireo olivaceus"
"RHAU","Rhinoceros Auklet","Rhinoceros Auklet","RHAU","rhiauk","","RHAU","CEMO","Cerorhinca monocerata"
"RNDU","Ring-necked Duck","Ring-necked Duck","RNDU","rinduc","","RNDU","AYCO","Aythya collaris"
"RNGR","Red-necked Grebe","Red-necked Grebe","RNGR","rengre","","RNGR","POGR","Podiceps grisegena"
"RNPH","Ring-necked Pheasant","Ring-necked Pheasant","RNPH","rinphe1","RNPH COPH","RNEP","PHCO","Phasianus colchicus"
"RNPL","Red-necked Phalarope","Red-necked Phalarope","RNPL","renpha","","RNPH","PHLO","Phalaropus lobatus"
"RNSA","Red-naped Sapsucker","Red-naped Sapsucker","RNSA","rensap","","RNSA","SPNU","Sphyrapicus nuchalis"
"ROPI","Rock Pigeon","Rock Pigeon","ROPI","rocpig","ROPI RODO","","COLI","Columba livia"
"ROPT","Rock Ptarmigan","Rock Ptarmigan","ROPT","rocpta1","","ROPT","LAMU","Lagopus muta"
"ROWR","Rock Wren","Rock Wren","ROWR","rocwre","ARWR","ROWR","SAOB","Salpinctes obsoletus"
"RTHA","Red-tailed Hawk","Red-tailed Hawk","RTHA","rethaw","","RTHA","BUJA","Buteo jamaicensis"
"RTHA","Red-tailed Hawk","Red-tailed Hawk","RTHA","rethaw","","RTHA","BUJA","Buteo jamaicensis"
"RTHU","Ruby-throated Hummingbird","Ruby-throated Hummingbird","RTHU","rthhum","","RTHU","ARCO","Archilochus colubris"
"RTLO","Red-throated Loon","Red-throated Loon","RTLO","retloo","RTDI","RTLO","GAST","Gavia stellata"
"RUBL","Rusty Blackbird","Rusty Blackbird","RUBL","rusbla","","RUBL","EUCA","Euphagus carolinus"
"RUDU","Ruddy Duck","Ruddy Duck","RUDU","rudduc","","RUDU","OXJA","Oxyura jamaicensis"
"RUGR","Ruffed Grouse","Ruffed Grouse","RUGR","rufgro","","RUGR","BOUM","Bonasa umbellus"
"RUHU","Rufous Hummingbird","Rufous Hummingbird","RUHU","rufhum","","RUHU","SERU","Selasphorus rufus"
"RWBL","Red-winged Blackbird","Red-winged Blackbird","RWBL","rewbla","","RWBL","AGPH","Agelaius phoeniceus"
"SACR","Sandhill Crane","Sandhill Crane","SACR","sancra","","SACR","ANCA","Antigone canadensis"
"SAHY","Sapsucker hybrid","Sapsucker hybrid","SAHY","","","","",""
"SAPH","Say's Phoebe","Say's Phoebe","SAPH","saypho","","SAPH","SASA","Sayornis saya"
"SAPS","Unknown Sapsucker","Unknown Sapsucker","SAPS","","","","",""
"SATH","Sage Thrasher","Sage Thrasher","SATH","sagthr","","SATH","ORMO","Oreoscoptes montanus"
"SAVS","Savannah Sparrow","Savannah Sparrow","SAVS","savspa","SASP SBBS","SAVS","PASA","Passerculus sandwichensis"
"SBDO","Short-billed Dowitcher","Short-billed Dowitcher","SBDO","shbdow","","SBDO","LIGR","Limnodromus griseus"
"SEOW","Short-eared Owl","Short-eared Owl","SEOW","sheowl","","SEOW","ASFL","Asio flammeus"
"SEPL","Semipalmated Plover","Semipalmated Plover","SEPL","semplo","","SEPL","CHSE","Charadrius semipalmatus"
"SIPH","Silver Pheasant","Silver Pheasant","SIPH","silphe","SIPH","","LONY","Lophura nycthemera"
"SKLA","Sky Lark","Sky Lark","SKLA","","","","",""
"SMLO","Smith's Longspur","Smith's Longspur","SMLO","smilon","","SMLO","CAPI","Calcarius pictus"
"SNBU","Snow Bunting","Snow Bunting","SNBU","snobun","","SNBU","PLNI","Plectrophenax nivalis"
"SNGO","Snow Goose","Snow Goose","SNGO","snogoo","","SNGO","ANCA","Anser caerulescens"
"SOGR","Sooty Grouse","Sooty Grouse","SOGR","soogro1","","SOGR","DEFU","Dendragapus fuliginosus"
"SORA","Sora","Sora","SORA","sora","","SORA","POCA","Porzana carolina"
"SOSA","Solitary Sandpiper","Solitary Sandpiper","SOSA","solsan","","SOSA","TRSO","Tringa solitaria"
"SOSP","Song Sparrow","Song Sparrow","SOSP","sonspa","","SOSP","MEME","Melospiza melodia"
"SPGR","Spruce Grouse","Spruce Grouse","SPGR","sprgro","","SPGR","CACA","Canachites canadensis"
"SPOW","Spotted Owl","Spotted Owl","SPOW","spoowl","","SPOW","STOC","Strix occidentalis"
"SPPI","Sprague's Pipit","Sprague's Pipit","SPPI","sprpip","","SPPI","ANSP","Anthus spragueii"
"SPSA","Spotted Sandpiper","Spotted Sandpiper","SPSA","sposan","","SPSA","ACMA","Actitis macularius"
"SPTO","Spotted Towhee","Spotted Towhee","SPTO","spotow","","SPTO","PIMA","Pipilo maculatus"
"SSHA","Sharp-shinned Hawk","Sharp-shinned Hawk","SSHA","shshaw","SSBB","SSHA","ACST","Accipiter striatus"
"STGR","Sharp-tailed Grouse","Sharp-tailed Grouse","STGR","shtgro","","STGR","TYPH","Tympanuchus phasianellus"
"STJA","Steller's Jay","Steller's Jay","STJA","stejay","","STJA","CYST","Cyanocitta stelleri"
"SUSC","Surf Scoter","Surf Scoter","SUSC","sursco","","SUSC","MEPE","Melanitta perspicillata"
"SUTA","Summer Tanager","Summer Tanager","SUTA","sumtan","","SUTA","PIRU","Piranga rubra"
"SWHA","Swainson's Hawk","Swainson's Hawk","SWHA","swahaw","","SWHA","BUSW","Buteo swainsoni"
"SWSP","Swamp Sparrow","Swamp Sparrow","SWSP","swaspa","","SWSP","MEGE","Melospiza georgiana"
"SWTH","Swainson's Thrush","Swainson's Thrush","SWTH","swathr","RBTH","SWTH","CAUS","Catharus ustulatus"
"TBMU","Thick-billed Murre","Thick-billed Murre","TBMU","thbmur","BRGU","TBMU","URLO","Uria lomvia"
"TEWA","Tennessee Warbler","Tennessee Warbler","TEWA","tenwar","","TEWA","LEPE","Leiothlypis peregrina"
"TOSO","Townsend's Solitaire","Townsend's Solitaire","TOSO","towsol","","TOSO","MYTO","Myadestes townsendi"
"TOWA","Townsend's Warbler","Townsend's Warbler","TOWA","towwar","","TOWA","SETO","Setophaga townsendi"
"TRSW","Tree Swallow","Tree Swallow","TRSW","treswa","TRSW","TRES","TABI","Tachycineta bicolor"
"TRUS","Trumpeter Swan","Trumpeter Swan","TRUS","truswa","TRSW","TRUS","CYBU","Cygnus buccinator"
"TUPU","Tufted Puffin","Tufted Puffin","TUPU","tufpuf","","TUPU","FRCI","Fratercula cirrhata"
"TUVU","Turkey Vulture","Turkey Vulture","TUVU","turvul","","TUVU","CAAU","Cathartes aura"
"UPSA","Upland Sandpiper","Upland Sandpiper","UPSA","uplsan","","UPSA","BALO","Bartramia longicauda"
"VASW","Vaux's Swift","Vaux's Swift","VASW","vauswi","","VASW","CHVA","Chaetura vauxi"
"VATH","Varied Thrush","Varied Thrush","VATH","varthr","","VATH","IXNA","Ixoreus naevius"
"VEER","Veery","Veery","VEER","veery","","VEER","CAFU","Catharus fuscescens"
"VESP","Vesper Sparrow","Vesper Sparrow","VESP","vesspa","","VESP","POGR","Pooecetes gramineus"
"VGSW","Violet-green Swallow","Violet-green Swallow","VGSW","vigswa","","VGSW","TATH","Tachycineta thalassina"
"VIRA","Virginia Rail","Virginia Rail","VIRA","virrai","","VIRA","RALI","Rallus limicola"
"WATA","Wandering Tattler","Wandering Tattler","WATA","wantat1","","WATA","TRIN","Tringa incana"
"WAVI","Warbling Vireo","Warbling Vireo","WAVI","warvir","","WAVI","VIGI","Vireo gilvus"
"WBNU","White-breasted Nuthatch","White-breasted Nuthatch","WBNU","whbnut","","WBNU","SICA","Sitta carolinensis"
"WCSP","White-crowned Sparrow","White-crowned Sparrow","WCSP","whcspa","","WCSP","ZOLE","Zonotrichia leucophrys"
"WEBL","Western Bluebird","Western Bluebird","WEBL","wesblu","","WEBL","SIME","Sialia mexicana"
"WEFL","Cordilleran or Pacific-slope Flycatcher (Western)","Cordilleran or Pacific-slope Flycatcher (Western)","WEFL","","","","",""
"WEGR","Western Grebe","Western Grebe","WEGR","wesgre","","WEGR","AEOC","Aechmophorus occidentalis"
"WEGU","Western Gull","Western Gull","WEGU","wesgul","","WEGU","LAOC","Larus occidentalis"
"WEKI","Western Kingbird","Western Kingbird","WEKI","weskin","","WEKI","TYVE","Tyrannus verticalis"
"WEME","Western Meadowlark","Western Meadowlark","WEME","wesmea","","WEME","STNE","Sturnella neglecta"
"WETA","Western Tanager","Western Tanager","WETA","westan","","WETA","PILU","Piranga ludoviciana"
"WHWO","White-headed Woodpecker","White-headed Woodpecker","WHWO","whhwoo","","WHWO","DRAL","Dryobates albolarvatus"
"WIFL","Willow Flycatcher","Willow Flycatcher","WIFL","wilfly","","WIFL","EMTR","Empidonax traillii"
"WIPH","Wilson's Phalarope","Wilson's Phalarope","WIPH","wilpha","","WIPH","PHTR","Phalaropus tricolor"
"WIPT","Willow Ptarmigan","Willow Ptarmigan","WIPT","wilpta","WIGR RGGR","WIPT","LALA","Lagopus lagopus"
"WISA","Williamson's Sapsucker","Williamson's Sapsucker","WISA","wilsap","","WISA","SPTH","Sphyrapicus thyroideus"
"WISN","Wilson's Snipe","Wilson's Snipe","WISN","wilsni1","","WISN","GADE","Gallinago delicata"
"WITU","Wild Turkey","Wild Turkey","WITU","wiltur","","WITU","MEGA","Meleagris gallopavo"
"WIWA","Wilson's Warbler","Wilson's Warbler","WIWA","wlswar","","WIWA","CAPU","Cardellina pusilla"
"WIWR","Pacific/Winter Wren","Pacific Wren/Winter Wren","WIWR","","","","",""
"WODU","Wood Duck","Wood Duck","WODU","wooduc","CWDU","WODU","AISP","Aix sponsa"
"WSJA","Western Scrub-Jay","Western Scrub-Jay","WSJA","","","","",""
"WSOW","Western Screech-Owl","Western Screech-Owl","WSOW","wesowl1","WSOW","WESO","MEKE","Megascops kennicottii"
"WTPT","White-tailed Ptarmigan","White-tailed Ptarmigan","WTPT","whtpta1","","WTPT","LALE","Lagopus leucura"
"WTSP","White-throated Sparrow","White-throated Sparrow","WTSP","whtspa","","WTSP","ZOAL","Zonotrichia albicollis"
"WTSW","White-throated Swift","White-throated Swift","WTSW","whtswi","","WTSW","AESA","Aeronautes saxatalis"
"WWCR","White-winged Crossbill","White-winged Crossbill","WWCR","whwcro","TBCR","WWCR","LOLE","Loxia leucoptera"
"WWPE","Western Wood-Pewee","Western Wood-Pewee","WWPE","wewpew","WWPE","WEWP","COSO","Contopus sordidulus"
"WWSC","White-winged Scoter","White-winged Scoter","WWSC","whwsco2","","WWSC","MEDE","Melanitta deglandi"
"YBCH","Yellow-breasted Chat","Yellow-breasted Chat","YBCH","yebcha","","YBCH","ICVI","Icteria virens"
"YBCU","Yellow-billed Cuckoo","Yellow-billed Cuckoo","YBCU","yebcuc","","YBCU","COAM","Coccyzus americanus"
"YBFL","Yellow-bellied Flycatcher","Yellow-bellied Flycatcher","YBFL","yebfly","","YBFL","EMFL","Empidonax flaviventris"
"YBSA","Yellow-bellied Sapsucker","Yellow-bellied Sapsucker","YBSA","yebsap","","YBSA","SPVA","Sphyrapicus varius"
"YERA","Yellow Rail","Yellow Rail","YERA","yelrai","","YERA","CONO","Coturnicops noveboracensis"
"YEWA","Yellow Warbler","Yellow Warbler","YEWA","yelwar","AYWA MAWA","YEWA","SEPE","Setophaga petechia"
"YHBL","Yellow-headed Blackbird","Yellow-headed Blackbird","YHBL","yehbla","","YHBL","XAXA","Xanthocephalus xanthocephalus"
"YRWA","Yellow-rumped Warbler","Yellow-rumped Warbler","YRWA","yerwar","MYWA","YRWA","SECO","Setophaga coronata"
"YRWA","Yellow-rumped Warbler","Yellow-rumped Warbler","YRWA","yerwar","MYWA","YRWA","SECO","Setophaga coronata"
"","Emu","","","emu1","EMU COEM","","DRNO","Dromaius novaehollandiae"
"","Bar-headed Goose","","","bahgoo","BHGO","","ANIN","Anser indicus"
"","Emperor Goose","","","empgoo","","EMGO","ANCA","Anser canagicus"
"","Ross's Goose","","","rosgoo","","ROGO","ANRO","Anser rossii"
"","Snow x Ross's Goose (hybrid)","","","sxrgoo1","SNGO ROGO","SRGH","ANRO ANCA","Anser caerulescens x rossii"
"","Graylag Goose","","","gragoo","","GRGO","ANAN","Anser anser"
"","Swan Goose","","","swagoo1","SWGO","","ANCY","Anser cygnoides"
"","Graylag x Swan Goose (hybrid)","","","x00776","GRGO SWGO","","ANAN ANCY","Anser anser x cygnoides"
"","Greater White-fronted Goose","","","gwfgoo","","GWFG","ANAL","Anser albifrons"
"","Taiga Bean-Goose","","","taibeg1","BEGO TBGO","TABG","ANFA","Anser fabalis"
"","Pink-footed Goose","","","pifgoo","","PFGO","ANBR","Anser brachyrhynchus"
"","Barnacle Goose","","","bargoo","BAGO","BARG","BRLE","Branta leucopsis"
"","Cackling Goose","","","cacgoo1","CAGO","CACG","BRHU","Branta hutchinsii"
"","Greater White-fronted x Cackling Goose (hybrid)","","","x00414","GWFG CACG CAGO","","ANAL BRHU","Anser albifrons x Branta hutchinsii"
"","Swan Goose x Canada Goose (hybrid)","","","swagoo3","CANG CAGO SWGO","","ANCY BRCA","Anser cygnoides x Branta canadensis"
"","Greater White-fronted x Canada Goose (hybrid)","","","x00415","CANG GWFG CAGO","","BRCA ANAL","Anser albifrons x Branta canadensis"
"","Graylag x Canada Goose (hybrid)","","","x00758","CANG CAGO GRGO","","ANAN BRCA","Anser anser x Branta canadensis"
"","Domestic goose sp. x Canada Goose (hybrid)","","","x00759","","","","Anser sp. (Domestic type) x Branta canadensis"
"","Black Swan","","","blkswa","BLSW","","CYAT","Cygnus atratus"
"","Mute x Trumpeter Swan (hybrid)","","","x00832","MUSW TRSW TRUS","","CYOL CYBU","Cygnus olor x buccinator"
"","Tundra Swan","","","tunswa","BESW","TUSW","CYCO","Cygnus columbianus"
"","Whooper Swan","","","whoswa","WHSW","WHOS","CYCY","Cygnus cygnus"
"","Egyptian Goose","","","egygoo","","EGGO","ALAE","Alopochen aegyptiaca"
"","Ruddy Shelduck","","","rudshe","","RUSH","TAFE","Tadorna ferruginea"
"","Muscovy Duck","","","musduc","","MUDU","CAMO","Cairina moschata"
"","Ringed Teal","","","rintea1","RITE","","CALE","Callonetta leucophrys"
"","Mandarin Duck","","","manduc","MADU","","AIGA","Aix galericulata"
"","Wood x Mandarin Duck (hybrid)","","","x00833","WODU CWDU MADU","","AIGA AISP","Aix sponsa x galericulata"
"","Baikal Teal","","","baitea","","BATE","SIFO","Sibirionetta formosa"
"","Garganey","","","gargan","","GARG","SPQU","Spatula querquedula"
"","Blue-winged x Cinnamon Teal (hybrid)","","","bwxtea1","CITE BWTE","","SPDI SPCY","Spatula discors x cyanoptera"
"","Blue-winged Teal x Northern Shoveler (hybrid)","","","x00629","NSHO BWTE NOSH","","SPCL SPDI","Spatula discors x clypeata"
"","Cinnamon Teal x Northern Shoveler (hybrid)","","","x00630","CITE NSHO NOSH","","SPCL SPCY","Spatula cyanoptera x clypeata"
"","Falcated Duck","","","falduc","","FADU","MAFA","Mareca falcata"
"","Eurasian x American Wigeon (hybrid)","","","x00421","AMWI EUWI","","MAPE MAAM","Mareca penelope x americana"
"","Muscovy Duck x Mallard (hybrid)","","","mdxmal1","MUDU MALL","","ANPL CAMO","Cairina moschata x Anas platyrhynchos"
"","Northern Shoveler x Mallard (hybrid)","","","x00612","NSHO NOSH MALL","","SPCL ANPL","Spatula clypeata x Anas platyrhynchos"
"","Gadwall x Mallard (hybrid)","","","x00420","GADW MALL","","MAST ANPL","Mareca strepera x Anas platyrhynchos"
"","American Wigeon x Mallard (hybrid)","","","x00611","AMWI MALL","","ANPL MAAM","Mareca americana x Anas platyrhynchos"
"","Mallard x American Black Duck (hybrid)","","","x00004","ABDU MALL","MBDH","ANRU ANPL","Anas platyrhynchos x rubripes"
"","White-cheeked Pintail","","","whcpin","WCPI","WCHP","ANBA","Anas bahamensis"
"","Gadwall x Northern Pintail (hybrid)","","","x00610","GADW NOPI","","ANAC MAST","Mareca strepera x Anas acuta"
"","American Wigeon x Northern Pintail (hybrid)","","","x00196","AMWI NOPI","","ANAC MAAM","Mareca americana x Anas acuta"
"","Mallard x Northern Pintail (hybrid)","","","x00628","NOPI MALL","","ANAC ANPL","Anas platyrhynchos x acuta"
"","Blue-winged x Green-winged Teal (hybrid)","","","x00673","GWTE BWTE EUTE CWTE EWTE","","SPDI ANCR","Spatula discors x Anas crecca"
"","American Wigeon x Green-winged Teal (hybrid)","","","x00646","AMWI GWTE EUTE CWTE EWTE","","ANCR MAAM","Mareca americana x Anas crecca"
"","Northern Pintail x Green-winged Teal (hybrid)","","","x00725","GWTE EUTE CWTE EWTE NOPI","","ANAC ANCR","Anas acuta x crecca"
"","Red-crested Pochard","","","recpoc","RCPO","","NERU","Netta rufina"
"","Common Pochard","","","compoc","COPO","COMP","AYFE","Aythya ferina"
"","Canvasback x Ring-necked Duck (hybrid)","","","x00880","CANV RNDU","","AYVA AYCO","Aythya valisineria x collaris"
"","Tufted Duck","","","tufduc","","TUDU","AYFU","Aythya fuligula"
"","Ring-necked Duck x Greater Scaup (hybrid)","","","x00779","GRSC RNDU","","AYCO AYMA","Aythya collaris x marila"
"","Ring-necked Duck x Lesser Scaup (hybrid)","","","x00613","LESC RNDU","","AYCO AYAF","Aythya collaris x affinis"
"","Tufted Duck x Lesser Scaup (hybrid)","","","x00653","TUDU LESC","","AYFU AYAF","Aythya fuligula x affinis"
"","Canvasback x scaup sp. (hybrid)","","","x00377","CANV","","AYVA","Aythya valisineria x marila/affinis"
"","Redhead x scaup sp. (hybrid)","","","x00681","REDH","","AYAM","Aythya americana x marila/affinis"
"","Ring-necked Duck x scaup sp. (hybrid)","","","x00682","RNDU","","AYCO","Aythya collaris x marila/affinis"
"","Tufted Duck x scaup sp. (hybrid)","","","tdxsca1","TUDU","","AYFU","Aythya fuligula x marila/affinis"
"","Steller's Eider","","","steeid","","STEI","POST","Polysticta stelleri"
"","King Eider","","","kineid","","KIEI","SOSP","Somateria spectabilis"
"","Common Eider","","","comeid","","COEI","SOMO","Somateria mollissima"
"","Surf x White-winged Scoter (hybrid)","","","x00882","WWSC SUSC","","MEDE MEPE","Melanitta perspicillata x deglandi"
"","Black Scoter","","","blksco2","","BLSC","MEAM","Melanitta americana"
"","Bufflehead x Common Goldeneye (hybrid)","","","x00655","BUFF COGO","","BUAL BUCL","Bucephala albeola x clangula"
"","Bufflehead x goldeneye sp. (hybrid)","","","x00909","BUFF","","BUAL","Bucephala albeola x clangula/islandica"
"","Common x Barrow's Goldeneye (hybrid)","","","cxbgol1","BAGO COGO","","BUIS BUCL","Bucephala clangula x islandica"
"","Smew","","","smew","","SMEW","MEAL","Mergellus albellus"
