"alphaCode_bc","comName","comName_tmp","alphaCode_bc_tmp","speciesCode","comNameCode","bandingCode","sciNameCode","sciName"
"","Common Goldeneye x Hooded Merganser (hybrid)","","","x00425","HOME COGO","","LOCU BUCL","Bucephala clangula x Lophodytes cucullatus"
"","Barrow's Goldeneye x Hooded Merganser (hybrid)","","","x00426","BAGO HOME","","BUIS LOCU","Bucephala islandica x Lophodytes cucullatus"
"","goldeneye sp. x Hooded Merganser (hybrid)","","","x00631","BAGO HOME COGO","","BUIS LOCU BUCL","Bucephala clangula/islandica x Lophodytes cucullatus"
"","Helmeted Guineafowl","","","helgui","HEGU","HELG","NUME","Numida meleagris"
"","Golden Pheasant","","","golphe","GOPH","","CHPI","Chrysolophus pictus"
"","Ring-necked x Green Pheasant (hybrid)","","","x01018","RNEP GRPH RNPH COPH","","PHCO PHVE","Phasianus colchicus x versicolor"
"","Common Quail","","","comqua1","COQU","","COCO","Coturnix coturnix"
"","American Flamingo","","","grefla2","","AMFL","PHRU","Phoenicopterus ruber"
"","Western x Clark's Grebe (hybrid)","","","x00427","WEGR CLGR","","AEOC AECL","Aechmophorus occidentalis x clarkii"
"","Oriental Turtle-Dove","","","ortdov","OTDO RTDO","ORTD","STOR","Streptopelia orientalis"
"","African Collared-Dove","","","afcdov1","ACDO","AFCD","STRO","Streptopelia roseogrisea"
"","White-winged Dove","","","whwdov","","WWDO","ZEAS","Zenaida asiatica"
"","Black-billed Cuckoo","","","bkbcuc","","BBCU","COER","Coccyzus erythropthalmus"
"","Lesser Nighthawk","","","lesnig","","LENI","CHAC","Chordeiles acutipennis"
"","Rivoli's Hummingbird","","","maghum1","MAHU","RIHU","EUFU","Eugenes fulgens"
"","Black-chinned x Anna's Hummingbird (hybrid)","","","x00651","ANHU BCHU","","CAAN ARAL","Archilochus alexandri x Calypte anna"
"","Costa's Hummingbird","","","coshum","","COHU","CACO","Calypte costae"
"","Black-chinned x Rufous Hummingbird (hybrid)","","","x00738","BCHU RUHU","","ARAL SERU","Archilochus alexandri x Selasphorus rufus"
"","Anna's x Rufous Hummingbird (hybrid)","","","x00626","ANHU RUHU","","CAAN SERU","Calypte anna x Selasphorus rufus"
"","Xantus's Hummingbird","","","xanhum","","XAHU","BAXA","Basilinna xantusii"
"","Common Gallinule","","","comgal1","AMMO","COGA","GAGA","Gallinula galeata"
"","Demoiselle Crane","","","demcra1","DECR","","ANVI","Anthropoides virgo"
"","Common Crane","","","comcra","COCR","CCRA","GRGR","Grus grus"
"","Black-bellied Plover","","","bkbplo","GRPL","BBPL","PLSQ","Pluvialis squatarola"
"","Pacific Golden-Plover","","","pagplo","PGPL","PAGP","PLFU","Pluvialis fulva"
"","Common Ringed Plover","","","corplo","RIPL","CRPL","CHHI","Charadrius hiaticula"
"","Piping Plover","","","pipplo","","PIPL","CHME","Charadrius melodus"
"","Siberian Sand-Plover","","","lessap2","LSPL LSDO SISD LESA SISP SSPL SSDO","LSAP","ANMO","Anarhynchus mongolus"
"","Snowy Plover","","","snoplo5","","SNPL","ANNI","Anarhynchus nivosus"
"","Bristle-thighed Curlew","","","brtcur","","BTCU","NUTA","Numenius tahitiensis"
"","Whimbrel","","","whimbr","EUWH","WHIM","NUPH","Numenius phaeopus"
"","Far Eastern Curlew","","","faecur","EACU","FECU","NUMA","Numenius madagascariensis"
"","Bar-tailed Godwit","","","batgod","","BTGO","LILA","Limosa lapponica"
"","Marbled Godwit","","","margod","","MAGO","LIFE","Limosa fedoa"
"","Long-billed Dowitcher","","","lobdow","","LBDO","LISC","Limnodromus scolopaceus"
"","Red Phalarope","","","redpha1","GRPH","REPH","PHFU","Phalaropus fulicarius"
"","Terek Sandpiper","","","tersan","","TESA","XECI","Xenus cinereus"
"","Gray-tailed Tattler","","","gyttat1","","GTTA","TRBR","Tringa brevipes"
"","Wood Sandpiper","","","woosan","","WOSA","TRGL","Tringa glareola"
"","Willet","","","willet1","","WILL","TRSE","Tringa semipalmata"
"","Spotted Redshank","","","spored","","SPRE","TRER","Tringa erythropus"
"","Ruddy Turnstone","","","rudtur","","RUTU","ARIN","Arenaria interpres"
"","Black Turnstone","","","blktur","","BLTU","ARME","Arenaria melanocephala"
"","Red Knot","","","redkno","","REKN","CACA","Calidris canutus"
"","Surfbird","","","surfbi","","SURF","CAVI","Calidris virgata"
"","Ruff","","","ruff","","RUFF","CAPU","Calidris pugnax"
"","Sharp-tailed Sandpiper","","","shtsan","STSA","SPTS","CAAC","Calidris acuminata"
"","Curlew Sandpiper","","","cursan","","CUSA","CAFE","Calidris ferruginea"
"","Stilt Sandpiper","","","stisan","","STSA","CAHI","Calidris himantopus"
"","Temminck's Stint","","","temsti","","TEST","CATE","Calidris temminckii"
"","Red-necked Stint","","","rensti","","RNST","CARU","Calidris ruficollis"
"","Spoon-billed Sandpiper","","","spbsan1","","SBSA","CAPY","Calidris pygmaea"
"","Buff-breasted Sandpiper","","","bubsan","","BBSA","CASU","Calidris subruficollis"
"","Sanderling","","","sander","","SAND","CAAL","Calidris alba"
"","Dunlin","","","dunlin","","DUNL","CAAL","Calidris alpina"
"","Purple Sandpiper","","","pursan","","PUSA","CAMA","Calidris maritima"
"","Rock Sandpiper","","","rocsan","","ROSA","CAPT","Calidris ptilocnemis"
"","Little Stint","","","litsti","","LIST","CAMI","Calidris minuta"
"","White-rumped Sandpiper","","","whrsan","","WRSA","CAFU","Calidris fuscicollis"
"","Pectoral Sandpiper","","","pecsan","","PESA","CAME","Calidris melanotos"
"","Western Sandpiper","","","wessan","","WESA","CAMA","Calidris mauri"
"","Semipalmated Sandpiper","","","semsan","","SESA","CAPU","Calidris pusilla"
"","Long-tailed Jaeger","","","lotjae","LTSK","LTJA","STLO","Stercorarius longicaudus"
"","Pomarine Jaeger","","","pomjae","POSK","POJA","STPO","Stercorarius pomarinus"
"","South Polar Skua","","","sopsku1","","SPSK","STMA","Stercorarius maccormicki"
"","Crested Auklet","","","creauk","","CRAU","AECR","Aethia cristatella"
"","Parakeet Auklet","","","parauk","","PAAU","AEPS","Aethia psittacula"
"","Kittlitz's Murrelet","","","kitmur","","KIMU","BRBR","Brachyramphus brevirostris"
"","Dovekie","","","doveki","LIAU","DOVE","ALAL","Alle alle"
"","Scripps's Murrelet","","","xanmur2","","SCMU","SYSC","Synthliboramphus scrippsi"
"","Guadalupe Murrelet","","","xanmur1","","GUMU","SYHY","Synthliboramphus hypoleucus"
"","Little Gull","","","litgul","","LIGU","HYMI","Hydrocoloeus minutus"
"","Ross's Gull","","","rosgul","","ROGU","RHRO","Rhodostethia rosea"
"","Red-legged Kittiwake","","","relkit","","RLKI","RIBR","Rissa brevirostris"
"","Ivory Gull","","","ivogul","","IVGU","PAEB","Pagophila eburnea"
"","Sabine's Gull","","","sabgul","","SAGU","XESA","Xema sabini"
"","Black-headed Gull","","","bkhgul","","BHGU","CHRI","Chroicocephalus ridibundus"
"","Laughing Gull","","","laugul","","LAGU","LEAT","Leucophaeus atricilla"
"","Black-tailed Gull","","","bktgul","","BTGU","LACR","Larus crassirostris"
"","Heermann's Gull","","","heegul","HEGU","HEEG","LAHE","Larus heermanni"
"","Short-billed Gull","","","mewgul2","MEGU SBGU","SBIG","LABR","Larus brachyrhynchus"
"","Great Black-backed Gull","","","gbbgul","","GBBG","LAMA","Larus marinus"
"","Glaucous Gull","","","glagul","","GLGU","LAHY","Larus hyperboreus"
"","Herring x Glaucous Gull (hybrid)","","","nelgul","AHHG EHGU GLGU HEGU HERG","","LAAR LAHY","Larus argentatus x hyperboreus"
"","Lesser Black-backed Gull","","","lbbgul","","LBBG","LAFU","Larus fuscus"
"","Herring x Glaucous-winged Gull (hybrid)","","","x00050","AHHG EHGU HEGU HERG GWGU","","LAAR LAGL","Larus argentatus x glaucescens"
"","Glaucous x Glaucous-winged Gull (hybrid)","","","x00048","GLGU GWGU","","LAGL LAHY","Larus hyperboreus x glaucescens"
"","Slaty-backed Gull","","","slbgul","SBGU","SBAG","LASC","Larus schistisagus"
"","Glaucous-winged x Slaty-backed Gull (hybrid)","","","x00436","GWGU SBAG SBGU","","LAGL LASC","Larus glaucescens x schistisagus"
"","Iceland Gull","","","y00478","","ICGU","LAGL","Larus glaucoides"
"","Least Tern","","","leater1","","LETE","STAN","Sternula antillarum"
"","Elegant Tern","","","eleter1","","ELTE","THEL","Thalasseus elegans"
"","Arctic Loon","","","arcloo","BTDI BTLO","ARLO","GAAR","Gavia arctica"
"","Yellow-billed Loon","","","yebloo","WBDI","YBLO","GAAD","Gavia adamsii"
"","Laysan Albatross","","","layalb","","LAAL","PHIM","Phoebastria immutabilis"
"","Black-footed Albatross","","","bkfalb","","BFAL","PHNI","Phoebastria nigripes"
"","Short-tailed Albatross","","","shtalb","","STAL","PHAL","Phoebastria albatrus"
"","Murphy's Petrel","","","murpet","","MUPE","PTUL","Pterodroma ultima"
"","Mottled Petrel","","","motpet","","MOPE","PTIN","Pterodroma inexpectata"
"","Hawaiian Petrel","","","hawpet1","","HAPE","PTSA","Pterodroma sandwichensis"
"","Cook's Petrel","","","coopet","","COPE","PTCO","Pterodroma cookii"
"","Pink-footed Shearwater","","","pifshe","","PFSH","ARCR","Ardenna creatopus"
"","Flesh-footed Shearwater","","","flfshe","","FFSH","ARCA","Ardenna carneipes"
"","Great Shearwater","","","greshe","","GRSH","ARGR","Ardenna gravis"
"","Buller's Shearwater","","","bulshe","BUSH","BULS","ARBU","Ardenna bulleri"
"","Sooty Shearwater","","","sooshe","","SOSH","ARGR","Ardenna grisea"
"","Short-tailed Shearwater","","","shtshe","STSH","STTS","ARTE","Ardenna tenuirostris"
"","Manx Shearwater","","","manshe","","MASH","PUPU","Puffinus puffinus"
"","Black-vented Shearwater","","","bkvshe","","BVSH","PUOP","Puffinus opisthomelas"
"","Wood Stork","","","woosto","","WOST","MYAM","Mycteria americana"
"","Brown Booby","","","brnboo","","BRBO","SULE","Sula leucogaster"
"","Nazca Booby","","","nazboo1","","NABO","SUGR","Sula granti"
"","Red-faced Cormorant","","","refcor","","RFCO","URUR","Urile urile"
"","Brown Pelican","","","brnpel","","BRPE","PEOC","Pelecanus occidentalis"
"","Black-crowned Night Heron","","","bcnher","","BCNH","NYNY","Nycticorax nycticorax"
"","Little Blue Heron","","","libher","","LBHE","EGCA","Egretta caerulea"
"","Snowy Egret","","","snoegr","","SNEG","EGTH","Egretta thula"
"","Western Cattle Egret","","","categr1","WCEG","CAEG","BUIB","Bubulcus ibis"
"","Great Egret","","","greegr","WHHE GWEG","GREG","ARAL","Ardea alba"
"","White-faced Ibis","","","whfibi","","WFIB","PLCH","Plegadis chihi"
"","Black Vulture","","","blkvul","ABVU","BLVU","COAT","Coragyps atratus"
"","White-tailed Kite","","","whtkit","","WTKI","ELLE","Elanus leucurus"
"","American Goshawk","","","norgos","NOGO AMGO","AGOS","ACAT","Accipiter atricapillus"
"","Harris's Hawk","","","hrshaw","","HAHA","PAUN","Parabuteo unicinctus"
"","Red-shouldered Hawk","","","reshaw","","RSHA","BULI","Buteo lineatus"
"","Rough-legged Hawk","","","rolhaw","RLBU","RLHA","BULA","Buteo lagopus"
"","Red-tailed x Rough-legged Hawk (hybrid)","","","x00731","RLHA RTHA RLBU","","BUJA BULA","Buteo jamaicensis x lagopus"
"","Snowy Owl","","","snoowl1","","SNOW","BUSC","Bubo scandiacus"
"","Yellow-bellied x Red-naped Sapsucker (hybrid)","","","x00634","RNSA YBSA","","SPNU SPVA","Sphyrapicus varius x nuchalis"
"","Yellow-bellied x Red-breasted Sapsucker (hybrid)","","","x00712","RBSA YBSA","","SPRU SPVA","Sphyrapicus varius x ruber"
"","Red-naped x Red-breasted Sapsucker (hybrid)","","","rnxsap1","RBSA RNSA","","SPNU SPRU","Sphyrapicus nuchalis x ruber"
"","Red-headed Woodpecker","","","rehwoo","","RHWO","MEER","Melanerpes erythrocephalus"
"","Acorn Woodpecker","","","acowoo","","ACWO","MEFO","Melanerpes formicivorus"
"","Crested Caracara","","","y00678","","CRCA","CAPL","Caracara plancus"
"","Cockatiel","","","cockat","COCK","","NYHO","Nymphicus hollandicus"
"","Budgerigar","","","budger","","BUDG","MEUN","Melopsittacus undulatus"
"","Monk Parakeet","","","monpar","","MOPA","MYMO","Myiopsitta monachus"
"","Western Flycatcher","","","wesfly","PSFL","WEFL","EMDI","Empidonax difficilis"
"","Black Phoebe","","","blkpho","","BLPH","SANI","Sayornis nigricans"
"","Vermilion Flycatcher","","","verfly","VFSP","VEFL","PYRU","Pyrocephalus rubinus"
"","Ash-throated Flycatcher","","","astfly","","ATFL","MYCI","Myiarchus cinerascens"
"","Great Crested Flycatcher","","","grcfly","","GCFL","MYCR","Myiarchus crinitus"
"","Tropical Kingbird","","","trokin","","TRKI","TYME","Tyrannus melancholicus"
"","Western x Eastern Kingbird (hybrid)","","","x00718","WEKI EAKI","","TYTY TYVE","Tyrannus verticalis x tyrannus"
"","Scissor-tailed Flycatcher","","","sctfly","","STFL","TYFO","Tyrannus forficatus"
"","Black-capped Vireo","","","bkcvir1","","BCVI","VIAT","Vireo atricapilla"
"","White-eyed Vireo","","","whevir","","WEVI","VIGR","Vireo griseus"
"","Bell's Vireo","","","belvir","","BEVI","VIBE","Vireo bellii"
"","Yellow-green Vireo","","","yegvir","","YGVI","VIFL","Vireo flavoviridis"
"","Red-backed Shrike","","","rebshr1","","RBSH","LACO","Lanius collurio"
"","Brown Shrike","","","brnshr","BRSH","BROS","LACR","Lanius cristatus"
"","Loggerhead Shrike","","","logshr","","LOSH","LALU","Lanius ludovicianus"
"","Canada Jay","","","gryjay","GRJA","CAJA","PECA","Perisoreus canadensis"
"","Pinyon Jay","","","pinjay","","PIJA","GYCY","Gymnorhinus cyanocephalus"
"","Steller's x Blue Jay (hybrid)","","","x00622","BLJA STJA","","CYST CYCR","Cyanocitta stelleri x cristata"
"","California Scrub-Jay","","","cowscj1","CSJA WSJA","CASJ","APCA","Aphelocoma californica"
"","Steller's Jay x California Scrub-Jay (hybrid)","","","x00964","CSJA CASJ WSJA STJA","","CYST APCA","Cyanocitta stelleri x Aphelocoma californica"
"","Black-capped x Mountain Chickadee (hybrid)","","","x00623","BCCH MOCH","","POGA POAT","Poecile atricapillus x gambeli"
"","Eurasian Skylark","","","skylar","SKYL","EUSK","ALAR","Alauda arvensis"
"","Violet-green x Cliff Swallow (hybrid)","","","x00661","ACSW VGSW CLSW","","TATH PEPY","Tachycineta thalassina x Petrochelidon pyrrhonota"
"","Cave Swallow","","","cavswa","","CASW","PEFU","Petrochelidon fulva"
"","Yellow-browed Warbler","","","yebwar3","","YBWA","PHIN","Phylloscopus inornatus"
"","Blue-gray Gnatcatcher","","","buggna","","BGGN","POCA","Polioptila caerulea"
"","Sedge Wren","","","sedwre1","","SEWR","CIST","Cistothorus stellaris"
"","Crested Myna","","","cremyn","CRMY","","ACCR","Acridotheres cristatellus"
"","Eastern Bluebird","","","easblu","","EABL","SISI","Sialia sialis"
"","Wood Thrush","","","woothr","","WOTH","HYMU","Hylocichla mustelina"
"","Redwing","","","redwin","","REDW","TUIL","Turdus iliacus"
"","Fieldfare","","","fieldf","","FIEL","TUPI","Turdus pilaris"
"","Dusky Thrush","","","dusthr2","","DUTH","TUEU","Turdus eunomus"
"","Red-flanked Bluetail","","","refblu","OFBR","RFBL","TACY","Tarsiger cyanurus"
"","Northern Wheatear","","","norwhe","","NOWH","OEOE","Oenanthe oenanthe"
"","Zebra Finch","","","zebfin2","SZFI TZFI ZEFI","","TAGU","Taeniopygia guttata"
"","White-rumped Munia","","","whrmun","WRMU","","LOST","Lonchura striata"
"","Siberian Accentor","","","sibacc","","SIAC","PRMO","Prunella montanella"
"","Eurasian Tree Sparrow","","","eutspa","","ETSP","PAMO","Passer montanus"
"","Eastern Yellow Wagtail","","","eaywag","","EYWA","MOTS","Motacilla tschutschensis"
"","Citrine Wagtail","","","citwag","","CIWA","MOCI","Motacilla citreola"
"","White Wagtail","","","whiwag","PWWA","WHWA","MOAL","Motacilla alba"
"","Red-throated Pipit","","","retpip","","RTPI","ANCE","Anthus cervinus"
"","Brambling","","","brambl","","BRAM","FRMO","Fringilla montifringilla"
"","Eurasian Bullfinch","","","eurbul","","EUBU","PYPY","Pyrrhula pyrrhula"
"","Oriental Greenfinch","","","origre","GCGR","ORGR","CHSI","Chloris sinica"
"","Hoary Redpoll","","","hoared","REDP ARRE","HORE","ACHO","Acanthis hornemanni"
"","European Goldfinch","","","eurgol","EUGO","EGOL","CACA","Carduelis carduelis"
"","Pine Siskin x American Goldfinch (hybrid)","","","x00905","AGOL AMGO PISI","","SPPI SPTR","Spinus pinus x tristis"
"","Lapland Longspur","","","laplon","LABU","LALO","CALA","Calcarius lapponicus"
"","Chestnut-collared Longspur","","","chclon","","CCLO","CAOR","Calcarius ornatus"
"","Thick-billed Longspur","","","mcclon","","TBLO","RHMC","Rhynchophanes mccownii"
"","McKay's Bunting","","","mckbun","MCBU","MKBU","PLHY","Plectrophenax hyperboreus"
"","Pine Bunting","","","pinbun","","PIBU","EMLE","Emberiza leucocephalos"
"","Pallas's Bunting","","","palbun","PRBU PABU","PALB","EMPA","Emberiza pallasi"
"","Rustic Bunting","","","rusbun","","RUBU","EMRU","Emberiza rustica"
"","Field Sparrow","","","fiespa","","FISP","SPPU","Spizella pusilla"
"","White-crowned x Golden-crowned Sparrow (hybrid)","","","x00053","GCSP WCSP","","ZOLE ZOAT","Zonotrichia leucophrys x atricapilla"
"","Harris's Sparrow","","","harspa","","HASP","ZOQU","Zonotrichia querula"
"","Golden-crowned x White-throated Sparrow (hybrid)","","","x00720","GCSP WTSP","","ZOAL ZOAT","Zonotrichia atricapilla x albicollis"
"","Dark-eyed Junco x White-throated Sparrow (hybrid)","","","x00039","WTSP DEJU","","JUHY ZOAL","Junco hyemalis x Zonotrichia albicollis"
"","Sagebrush Sparrow","","","sagspa1","SASP","SABS","ARNE","Artemisiospiza nevadensis"
"","LeConte's Sparrow","","","lecspa","LESP","LCSP","AMLE","Ammospiza leconteii"
"","Green-tailed Towhee","","","gnttow","","GTTO","PICH","Pipilo chlorurus"
"","Orchard Oriole","","","orcori","","OROR","ICSP","Icterus spurius"
"","Hooded Oriole","","","hooori","","HOOR","ICCU","Icterus cucullatus"
"","Bullock's x Baltimore Oriole (hybrid)","","","x00013","BAOR BUOR","BBOH","ICGA ICBU","Icterus bullockii x galbula"
"","Great-tailed Grackle","","","grtgra","","GTGR","QUME","Quiscalus mexicanus"
"","Golden-winged Warbler","","","gowwar","","GWWA","VECH","Vermivora chrysoptera"
"","Lucy's Warbler","","","lucwar","","LUWA","LELU","Leiothlypis luciae"
"","MacGillivray's x Mourning Warbler (hybrid)","","","x00699","MGWA MOWA MAWA","","GETO GEPH","Geothlypis tolmiei x philadelphia"
"","Hooded Warbler","","","hoowar","","HOWA","SECI","Setophaga citrina"
"","Northern Parula","","","norpar","","NOPA","SEAM","Setophaga americana"
"","Blackburnian Warbler","","","bkbwar","BLWA","BLBW","SEFU","Setophaga fusca"
"","Pine Warbler","","","pinwar","","PIWA","SEPI","Setophaga pinus"
"","Yellow-throated Warbler","","","yetwar","","YTWA","SEDO","Setophaga dominica"
"","Prairie Warbler","","","prawar","PRWA","PRAW","SEDI","Setophaga discolor"
"","Black-throated Gray x Townsend's Warbler (hybrid)","","","x00867","BTGW TOWA BTYW","","SENI SETO","Setophaga nigrescens x townsendi"
"","Townsend's x Hermit Warbler (hybrid)","","","x00059","HEWA TOWA","THWH","SEOC SETO","Setophaga townsendi x occidentalis"
"","Townsend's x Black-throated Green Warbler (hybrid)","","","x00664","BTNW BTGW TOWA","","SETO SEVI","Setophaga townsendi x virens"
"","Painted Redstart","","","paired","PAWH","PARE","MYPI","Myioborus pictus"
"","Scarlet Tanager","","","scatan","","SCTA","PIOL","Piranga olivacea"
"","Northern Cardinal","","","norcar","","NOCA","CACA","Cardinalis cardinalis"
"","Rose-breasted x Black-headed Grosbeak (hybrid)","","","x00448","RBGR BHGR","","PHLU PHME","Pheucticus ludovicianus x melanocephalus"
"","Blue Grosbeak","","","blugrb1","","BLGR","PACA","Passerina caerulea"
"","Lazuli x Indigo Bunting (hybrid)","","","ixlbun","INBU LAZB LABU","ILBH","PAAM PACY","Passerina amoena x cyanea"
"","Painted Bunting","","","paibun","","PABU","PACI","Passerina ciris"
"","Dickcissel","","","dickci","","DICK","SPAM","Spiza americana"
"","Saffron Finch","","","saffin","","SAFI","SIFL","Sicalis flaveola"
"","Red-tailed Hawk (abieticola)","","","rethaw4","RTHA","","BUJA","Buteo jamaicensis abieticola"
"","Red-tailed Hawk (solitudinis)","","","rethaw3","RTHA","","BUJA","Buteo jamaicensis solitudinis"
"","Red-tailed Hawk (jamaicensis)","","","rethaw2","RTHA","","BUJA","Buteo jamaicensis jamaicensis"
"","Red-tailed Hawk (costaricensis)","","","rethaw1","RTHA","","BUJA","Buteo jamaicensis costaricensis"
"","Red-tailed Hawk (umbrinus)","","","rethaw8","RTHA","","BUJA","Buteo jamaicensis umbrinus"
"","Red-tailed Hawk (socorroensis)","","","rethaw7","RTHA","","BUJA","Buteo jamaicensis socorroensis"
"","Red-tailed Hawk (fumosus)","","","rethaw6","RTHA","","BUJA","Buteo jamaicensis fumosus"
"","Red-tailed Hawk (borealis)","","","erthaw1","RTHA","","BUJA","Buteo jamaicensis borealis"
"","Red-tailed Hawk (kemsiesi/hadropus)","","","rethaw5","RTHA","","BUJA","Buteo jamaicensis kemsiesi/hadropus"
"","Red-tailed Hawk (fuertesi)","","","frthaw1","RTHA","","BUJA","Buteo jamaicensis fuertesi"
"","Red-tailed Hawk (calurus/alascensis)","","","wrthaw1","RTHA","","BUJA","Buteo jamaicensis calurus/alascensis"
"","Red-tailed Hawk (calurus/abieticola)","","","rethaw9","RTHA","","BUJA","Buteo jamaicensis calurus/abieticola"
"","Red-tailed Hawk (Krider's)","","","krthaw1","RTHA","","BUJA","Buteo jamaicensis kriderii"
"","Yellow-rumped Warbler (West Mexico)","","","yerwar1","AUWA MYWA YRWA","","SECO","Setophaga coronata nigrifrons"
"","Yellow-rumped Warbler (Myrtle x Audubon's)","","","yerwar3","MYWA YRWA","","SECO","Setophaga coronata coronata x auduboni"
"","Yellow-rumped Warbler (Goldman's)","","","yerwar2","MYWA YRWA GOWA","","SECO","Setophaga coronata goldmani"
